WindCodes,PTMYEAR,ANAL_PRECUPN,NXCUPN,NXCUPN2,CALC_ACCRINT,COUPONRATE,INTERESTFREQUENCY,CF,,,,,,,,
,剩余期限（年）,上一付息日,下一付息日,距下一付息日天数,指定日应计利息（2020-12-15）,票面利率,每年付息次数,转换因子,,,,,,,,
019572.SH,6.632877,2020/8/3,2021/2/3,140,1.327808,3.59,2,1.0354,,,,,,,,
101718.SZ,6.632877,2020/8/3,2021/2/3,140,1.327808,3.59,2,1.0354,,,,,,,,
170018.IB,6.632877,2020/8/3,2021/2/3,140,1.307228,3.59,2,1.0354,,,,,,,,
019580.SH,6.882192,2020/11/2,2021/5/2,47,0.460493,3.82,2,1.0509,,,,,,,,
2000002.IB,6.509589,0:00:00,2021/6/19,276,1.329014,2.71,1,0.983,,,,,,,,
200006.IB,9.430137,2020/11/21,2021/5/21,66,0.17768,2.68,2,0.9739,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DateTime,CLOSE,LASTTRADE_DATE,LASTDELIVERY_DATE,TRADE_HISCODE,019572.SH,101718.SZ,170018.IB,019580.SH,2000002.IB,200006.IB,019572.SH,101718.SZ,170018.IB,019580.SH,2000002.IB,200006.IB
交易日,收盘价,最后交易日,最后交割日,月合约代码,债券全价,债券全价,债券全价,债券全价,债券全价,债券全价,隐含收益率,隐含收益率,隐含收益率,隐含收益率,隐含收益率,隐含收益率
2020/9/8,97.9,2020/12/11,2020/12/16,T2012.CFE,102.693468,102.693468,102.672888,103.343603,97.564714,95.52249,,,,,,
2020/9/9,98.27,2020/12/11,2020/12/16,T2012.CFE,103.076566,103.076566,103.055986,103.732436,97.928424,95.882833,,,,,,
2020/9/10,98.34,2020/12/11,2020/12/16,T2012.CFE,103.149044,103.149044,103.128464,103.805999,97.997234,95.951006,,,,,,
2020/9/11,97.86,2020/12/11,2020/12/16,T2012.CFE,102.652052,102.652052,102.631472,103.301567,97.525394,95.483534,,,,,,
2020/9/14,97.7,2020/12/11,2020/12/16,T2012.CFE,102.486388,102.486388,102.465808,103.133423,97.368114,95.32771,,,,,,
2020/9/15,98.035,2020/12/11,2020/12/16,T2012.CFE,102.833247,102.833247,102.812667,103.4854745,97.697419,95.6539665,,,,,,
