指标名称,人民币存款准备金率:大型存款类金融机构(变动公告日期)
1999-11-18,6.00 
2003-08-23,7.00 
2004-04-12,7.50 
2006-06-16,8.00 
2006-07-21,8.50 
2006-11-03,9.00 
2007-01-05,9.50 
2007-02-16,10.00 
2007-04-05,10.50 
2007-04-29,11.00 
2007-05-18,11.50 
2007-07-30,12.00 
2007-09-06,12.50 
2007-10-13,13.00 
2007-11-10,13.50 
2007-12-08,14.50 
2008-01-16,15.00 
2008-03-18,15.50 
2008-04-16,16.00 
2008-05-12,16.50 
2008-06-07,17.50 
2008-09-15,17.50 
2008-10-08,17.00 
2008-11-26,16.00 
2008-12-22,15.50 
2010-01-12,16.00 
2010-02-12,16.50 
2010-05-02,17.00 
2010-11-10,17.50 
2010-11-19,18.00 
2010-12-10,18.50 
2011-01-14,19.00 
2011-02-18,19.50 
2011-03-18,20.00 
2011-04-17,20.50 
2011-05-12,21.00 
2011-06-14,21.50 
2011-11-30,21.00 
2012-02-18,20.50 
2012-05-12,20.00 
2015-02-04,19.50 
2015-04-19,18.50 
2015-08-25,18.00 
2015-10-23,17.50 
2016-02-29,17.00 
2018-04-17,16.00 
2018-06-24,15.50 
2018-10-07,14.50 
2019-01-04,13.50 
2019-09-06,13.00 
2020-01-01,12.50 
